
> glb-pcf-editor@1.0.0 serve
> npx serve . -p 3000 --no-clipboard

npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/26/2026 1:48:51 AM ::1 GET /editor/route-metrics.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /hud/hud-contract.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /hud/hud-state.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /hud/hud-overlay.js
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 4 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 4 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 4 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 4 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 4 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 4 ms
 HTTP  4/26/2026 1:48:51 AM ::1 GET /hud/hud-keyboard.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /hud/hud-line-draw.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /hud/hud-component-insert.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /data/masterdb-schema.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /data/masterdb-normalize.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /macro/macro-engine.js
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 6 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 6 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 6 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 6 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 6 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 6 ms
 HTTP  4/26/2026 1:48:51 AM ::1 GET /macro/macro-history.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /data/masterdb-import-export.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /data/masterdb-grid.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /data/masterdb-contract.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /geometry/pipe-geometry.js
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 4 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 3 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 3 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 4 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 4 ms
 HTTP  4/26/2026 1:48:51 AM ::1 GET /hud/hud-format.js
 HTTP  4/26/2026 1:48:51 AM ::1 GET /macro/macro-commands.js
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 7 ms
 HTTP  4/26/2026 1:48:51 AM ::1 Returned 200 in 5 ms
 HTTP  4/26/2026 1:48:52 AM ::1 GET /macro/macro-route.js
 HTTP  4/26/2026 1:48:52 AM ::1 Returned 200 in 3 ms
